wordKey,exp
"love","They love each other [unconditionally]."
"month","He managed to [finish] the project almost a [month] earlier."
"month","They hadn't heard [from] each other [for] months."
"month","The baby was [due] next month."
"month","If you [keep] putting [off] learning English, you'll never learn it in a month of [Sundays]."
"travel","When I'm rich, I will [travel] the world."
"travel","She [travels] to work [by] subway."
"travel","They [traveled] to China for their family [vacation]."
"travel","He traveled [across] the country to be [at] his son's wedding."
"travel","They had to travel [through] the Sahara desert to meet with the [pharaoh]."
"travel","They traveled [extensively] around the suburb only by [bicycle]."
"travel","Light travels [faster] than sound."
"travel","The sound of music traveled [through] the wall."
"travel","The [infectious] disease traveled [rapidly] in the area."
"travel","Rumors of their [affair] began to travel [across] the town."
"travel","His job [involves] a lot of travel."
"typical","Spicy food is [typical] in India."
"typical","Typical [symptoms] of a cold are a sore [throat] and a runny [nose]."
"visit","Their grandparents were [deliriously] happy that they went to [visit] them."
"visit","One day, I will [travel] to Beijing to [visit] the Great Wall."
"visit","Sherlock [decided] to visit the place [where] the crime happened."
"visit","Over [millions] of people visit Google [every] day."
"visit","They wanted to [pay] a visit to them on their way [back] home."
"weather","Do you like warm, or cold [weather]?"
"weather","Weather [permitting], we will be [on] a boat trip next week."
"week","His doctor told him to rest for a [week] or two."
"week","It took two [weeks] to [pick] up the pieces after the [hurricane]."
"wine","They had six barrels of [wine] in the [inn]."
"wine","He brought red [wine] to [offer] his congratulations."
"adventure","They decided to go [on] an [adventure] in the jungle."
"adventure","He always wanted to become a knight and [have] some [adventures]."
"adventure","She has a great [sense] of adventure."
"approach","It was [approaching] lunchtime, so they stopped working and went to a [nearby] restaurant."
"approach","After a few seconds, they saw that it was a bicycle [approaching]."
"approach","The money they were raising soon [approached] 10 [thousand]."
"approach","We should [carefully] approach the issue to [avoid] making mistakes."
"approach","Some birds [migrate] to different places [at] the approach of winter."
"approach","The coach decided to [adopt] a new approach for the second [half] of the match."
"carefully","The teacher told the students to listen [carefully] to absorb the important [lesson]."
"carefully","The road there is [hairy], so drive [carefully]."
"carefully","He tried to do it [carefully] to avoid [making] mistakes."
"chemical","The factory had been dumping [toxic] [chemicals] into the river."
"chemical","They were working on some [chemicals] in the [laboratory]."
"create","He wanted to [learn] computer programming so he could [create] some [applications]."
"create","She [created] a decent meal [from] just a few ingredients."
"create","They were trying to create a [snow]man."
"evil","He was an [evil] man [who] didn't care [about] others."
"evil","The [pollution] of the environment is an evil that [threatens] the entire [ecosystem]."
"experiment","They [did] an [experiment] to observe the reaction [between] the chemicals."
"experiment","They [carried] [out] an experiment to see how the drug worked."
"experiment","She [conducted] an experiment on a guinea pig."
"experiment","His new formula was [validated] [by] experiment."
"experiment","He decided to wear new [attire] [as] an experiment."
"kill","She was very sad, because she had accidentally [killed] a [piglet]."
"kill","We should [heat] the needle to kill [bacteria] and make it [sterile]."
"laboratory","The [laboratory] was filled with broken [beakers] after they mixed those chemicals."
"laboratory","All the students went to the [laboratory] to learn [chemistry]."
"laugh","He made them [laugh] by [imitating] the way Chandler spoke."
"laugh","She got angry when she saw them [laughing] [at] the new kid."
"laugh","He [cracked] a joke and made her [burst] out [laughing]."
"laugh","The TV show was so funny that they all [laughed] out [loud]."
"laugh","Suddenly, there was a loud [laugh] coming [from] upstairs."
"laugh","They had a good [laugh] [at] the theater."
"laugh","I like [hanging] out with him; he's a [good] laugh."
"loud","There was a [loud] noise when the bomb [went] off."
"loud","He couldn't [catch] what she was saying, so he asked her to speak [louder]."
"loud","Suddenly, there was a loud [explosion] that [startled] everyone."
"loud","It's important to speak [out] [loud] when practicing your [speaking] skills."
"nervous","He was [nervous] around girls."
"nervous","She started to [feel] nervous [about] her first day [at] work."
"nervous","Don't [get] nervous; it's just a test about what you've learned, and you'll be [relieved] when it's [over]."
"nervous","She was so nervous about the [interview]."
"noise","There was a loud [noise] when the baby started [crying]."
"noise","There was always [traffic] noise, as their house was [located] close to a highway."
"noise","The [background] noise [disturbed] him while he was trying to focus on the project."
"project","The [project] didn't come [off] as they planned."
"project","The [research] project was going [according] to plan."
"project","Their [afternoon] project was to rid the entire farm of [pests]."
"scare","The little boy was [scared] [by] the imaginary monster."
"scare","He [scared] the hell out of him when he jumped out from [behind] the table."
"scare","They scared him [out] of his [wits] when they threw an artificial [tarantula] on him."
"scare","She scared him to [death] by playing that [prank]."
"secret","Joey was having a hard time trying to [keep] their [secret]."
"secret","The young [couple] decided to [have] no [secrets] from each other."
"secret","They couldn't [let] him [in] [on] the secret since it was a surprise."
"shout","When he got stock, he [shouted] from the attic to get help."
"shout","She got [furious] and shouted [at] him to help [carry] the heavy boxes."
"shout","He tried to shout [above] the noise to catch her [attention]."
"smell","The smell of soup [wafting] around her apartment made me [hungry]."
"smell","I could [smell] a [whiff] of perfume."
"smell","The cheese smelled [off] to me, so I threw it [away]."
"smell","The deer smelled [danger] and [vanished] into thin air."
"smell","The smell of flowers was very [pleasant]."
"terrible","I'm afraid I have some [terrible] news."
"terrible","The [taste] of food was terrible."
"terrible","She was a [terrible] swimmer."
"worse","Take her to the doctor if her condition [gets] [worse]."
"worse","The weather got [even] [worse] and made them go back."
"worse","The weather [forecast] said it would get [much] [worse] over the next two days."
"alien","Some people say that aliens come to Earth in their UFOs."
"alien","They were used to traditional methods, and the new technology seemed alien to them."
"among","Two of my friends were among the crowd."
"among","They were lost among a dense forest."
"among","She felt less worried when she realized her child was among a group."
"chart","There were both bar charts and pie charts showing all the figures."
"chart","The sales chart was showing a dramatic rise in sales."
"cloud","There was thick cloud blocking the sunshine."
"cloud","They were hoping for a break in the clouds, in vain."
"cloud","Soon, dark, menacing clouds took over the region."
"cloud","The entire area became gloomy when the sky clouded over."
"describe","She described to the police how the accident happened."
"describe","Can you describe in detail what exactly you were doing there?"
"describe","He described her as tall and blonde."
"describe","She described him as being rude and arrogant."
"ever","Have you ever heard of him?"
"ever","He would never ever miss being with his friends."
"ever","She hardly ever did the cleaning in the house."
"ever","If ever there was a fight in the school, he was a part of it."
"ever","The economic situation was worse than ever."
"fail","She had to go through the course again, as she had failed her final exam."
"fail","He failed to be on the team for the big match."
"fail","She failed in catching the frisbee and fell down."
"fail","His knee is hurt, so basically he's doomed to fail."
"fail","Despite a lot of practice, they failed miserably and couldn't make it to the next stage."
"grade","He'd been studying hard because he wanted to get a grade A in English."
"grade","Since they didn't have much money, they had to get a low-grade car."
"instead","Since he got injured, one of his teammates played instead of him."
"instead","He decided to study for his exam instead of playing video games all day."
"library","She went to the library to see if she could find a book about zoology."
"library","He's in the university library, cramming for his final exam."
"photograph","She had a black-and-white photograph of her great grandparents."
"photograph","They took several photographs sitting on a tree."
"planet","The astronaut was standing on the Moon looking at the planet Earth."
"report","He gave a report of the robbery to the police."
"report","She wanted to see the annual report of the company."
"report","He reported them to the police for playing loud music at midnight."
"report","The police officer quickly handled the issue and reported for duty again."
"several","I've watched ""Friends"" several times."
"several","Several workers were on strike."
"several","Several of her friends didn't show up at the party."
"shape","Her birthday cake was in the shape of a three-dimensional diamond."
"shape","My desk is rectangle in shape."
"shape","The sculpture began to lose its shape as time went by."
"shape","His artifact was out of shape after that unfortunate incident."
"shape","They like science in any shape or form."
"shape","His store had comic books of all shapes and sizes."
"solve","Sherlock wanted to solve the mystery."
"solve","They finally came up with an idea to solve the problem."
"solve","Get over yourself; whining won't solve anything."
"suddenly","They were driving when suddenly, a pedestrian emerged out of nowhere."
"suddenly","Suddenly, there was a clap of thunder that frightened them."
"suppose","I suppose we ought to take English seriously."
"suppose","She supposed that he was in love with her just because he was so friendly."
"suppose","The surprise was supposed to be funny."
"understand","They couldn't understand any of the words she said."
"understand","Does anybody understand Mandarin Chinese?"
"understand","He wanted to understand how the computer works."
"understand","You don't understand how it's like to be lonely."
"view","He is a realtor and helps people who want to view the house."
"view","Their show was being viewed by millions of people around the world."
"view","There was an argument because their views on the subject were different."
"view","In my view, education must be accessible to everyone."
"view","I share the view that we need to learn English."
"view","She took a dim view of the subject of the conversation."
"view","They had an exchange of views about philosophy."
"view","The view from the mountain summit is breathtaking."
"view","As we walked further, a spectacular waterfall came into view."
"view","They decided to have a picnic in the village, admiring the view."
"view","A skyscraper blocked the view of the ocean."
"appropriate","That movie wasn't appropriate for family."
"appropriate","It's appropriate to wear formal attire to an official ceremony."
"avoid","He was avoiding her ever since she broke his heart."
"avoid","Avoid that highway on Saturdays; there's always bumper-to-bumper traffic."
"avoid","He narrowly avoided such a terrible accident when his car skidded on the highway."
"avoid","We need to avoid arguing with them at all costs."
"behave","Their kids always behave badly when they're together."
"behave","During the trip, they both behaved well and didn't cause any trouble."
"behave","He behaves as if he knew everything."
"calm","The spot there was so peaceful and calm."
"calm","Keep calm please. No one is going to be hurt; it's just a game."
"calm","During the operation, he had a hard time remaining calm due to his grave anxiety."
"calm","It became a heated argument, and he tried to calm them down."
"calm","There was a sense of calm in the early morning."
"concern","The entire city was filled with concern after a skyscraper collapsed."
"concern","There's a lot of concern over global warming."
"concern","Concern for proper health care was growing due to the outbreak of the virus."
"concern","For the time being, my concern is that I'm not fluent in English yet."
"concern","The fact that she said she wouldn't go with them concerned him a lot."
"concern","It concerns me that I'm a little behind my plans."
"concern","The movie concerns a group of people who are lost in a secluded place."
"concern","The book concerns language learning."
"content","The kids were content with their toys."
"content","He was very content to be with his family."
"expect","She didn't expect to see him in that cafe."
"expect","He expected her to accept his proposal."
"expect","She expected that the kids would find the answer to the riddle."
"frequently","Some words are used more frequently than others."
"frequently","She'd lost her keys so frequently that she decided to hide a spare key."
"habit","Try to get into the habit of learning new words every day."
"habit","After a few weeks, she managed to get out of that nasty habit."
"habit","He has finally broken the habit of smoking."
"habit","She advised them to make a habit of telling what they appreciate about each other every so often."
"habit","He usually bites his fingers out of habit when he's thinking."
"habit","During their friendship, he picked up some of his bad habits."
"habit","They were in the habit of talking on the phone every other day."
"habit","She had a habit of jumping into people's sentences."
"instruct","She was trying to instruct the kids, but they wouldn't pay attention."
"instruct","He was a coach and instructed several people in swimming."
"issue","The CEO talked about the ethical issues in the meeting."
"issue","That's just a side issue, so let's concentrate on this one for now."
"none","None of my coworkers know Mandarin."
"none","Do you have any idea how to do that? None at all."
"none","None but Joey could eat that much turkey."
"none","The one who will lecture is none other than Ross."
"patient","I tried to be patient with him."
"patient","He was starving and couldn't be patient anymore."
"patient","A few patients were waiting for their turn in the lounge."
"positive","We should keep a positive attitude while learning a foreign language."
"positive","His positive outlook helped him go through those dark days."
"positive","You have a positive future as long as you keep studying."
"positive","Her doctor said If her test was positive, she would have an operation."
"punish","The teacher punished the lazy student by giving him extra homework."
"punish","The police officer punished her with a $50 fine."
"represent","They got a lawyer to represent them in court."
"represent","Each color represents a different type of terrain on the map."
"shake","He stood out, shaking like a leaf."
"shake","They shook hands and agreed on the contract."
"shake","The chef shook cheese over the pasta to complement its flavor."
"spread","He took a slice of toast and spread butter and jam on it."
"spread","The petroleum was leaking from the pipe and made the fire spread quickly."
"spread","The contagious disease spread through the city rapidly."
"stroll","They decided to stroll along the beach and have a romantic evening."
"stroll","After supper, he went for a leisurely stroll through the park with his dog."
"village","There was a picturesque fishing village."
"village","Every day, he would take a taxi from the village to downtown to get to work."
"active","He was 75, albeit remained active."
"active","You should be more active instead of sitting around all day."
"active","He was an active member of the union."
"active","She's very active in community service."
"active","He wanted to talk to his son about protection before he became sexually active."
"adult","Children should not interrupt when adults are talking."
"adult","There was a section in the shop for adults only."
"age","He set up his own business at the age of 19."
"age","She's about 50 but doesn't look her age."
"age","After years of being in prison, he couldn't feel his age anymore."
"age","He told him to act his age."
"age","Since he's also in high school, I guess he's about your age."
"bad","He was in such a bad mood that he couldn't make dinner."
"bad","Just because he's bad at math doesn't mean he's stupid."
"bad","They had no choice but to call off the plan due to bad weather."
"bad","When news about their plan leaked out, they got bad publicity among the citizens."
"bad","He didn't know how to break such bad news to them."
"balance","He was about to fall down but managed to maintain his balance just in time."
"balance","She was having difficulty keeping her balance with those high-heeled shoes."
"balance","The cyclist looked back to see who was making that sound but then lost his balance and fell."
"balance","We should strike a balance between work and rest."
"bike","He goes to work by bike."
"choose","There was a range of items to choose from."
"choose","They had difficulty choosing one from so many options."
"choose","He had to choose between studying for the final test and going out with his friends."
"choose","She couldn't choose what dress to buy."
"choose","The coach chose him as the captain of the team."
"choose","Her manager chose her to oversee the project."
"doctor","He decided to see a doctor as the pain got worse."
"doctor","The doctor prescribed her some syrup and pills."
"during","They talked about the issue during the party."
"during","He fell asleep during the movie."
"football","Football in America is called ""soccer""."
"fun","They had a lot of fun in the playground."
"fun","Let's go camping for fun."
"fun","They just wanted to have a fun evening."
"fun","They didn't mean anything when they made fun of him."
"game","Instead of going out, they decided to play a fun game."
"game","They played a game of tennis."
"heart","Their hearts were beating fast during the competition."
"heart","He had a heart attack and is now in the hospital."
"heart","His heart leaped when she called to invite him over."
"heart","She turned down his proposal and broke his heart."
"heart","He lost his heart to her the first time he saw her."
"heart","Trust and honesty are at the heart of any successful relationship."
"heart","Instead of getting excited, he remained focused, dealing with the heart of the matter."
"golf","He loves golf because it makes him calm."
"golf","They went to play golf in the golf course."
"increase","The profit was significantly increasing thanks to his good management."
"increase","The money the charity was raising increased dramatically."
"increase","We can get a higher grade if we increase our effort."
"increase","They saw an increase in the number of participants."
"increase","A lot of people went on strike because of price increases."
"life","He wanted to spend the rest of his life with her."
"life","Whether you like it or not, problems are a part of life."
"life","He saved the lives of several poor kids around the world."
"life","I suppose there's life after death."
"life","The knight would give his life for his king."
"kilometer","There are just a few kilometers to reach the destination."
"kilometer","The village is about 70 kilometers away from downtown."
"often","I often see her on my way to work."
"often","How often do you brush your teeth?"
"often","It's not often that you find a sincere person nowadays."
"plenty","There was plenty of evidence that proved him guilty."
"plenty","There were plenty of activities in the town."
"plenty","No need to hurry; we've got plenty of time."
"weight","He gained weight during the time he was in jail."
"weight","She wanted to lose weight, so she decided to hit the gym every day."
"apart","They moved apart and followed their paths."
"apart","He pulled them apart and tried to calm them down."
"apart","We should try to keep work and our private lives far apart."
"apart","When I took the cookie, it fell apart because it had cracks in it."
"apart","The mechanic took the engine apart to see what was wrong."
"attribute","Being organized is a rare attribute among teenagers."
"attribute","She has some positive attributes as a young girl."
"bilingual","Once I master English, I will be bilingual."
"bilingual","Do you have a bilingual dictionary?"
"completely","Now that you explained it to me, I agree with you completely."
"completely","The entire area was completely changed."
"dash","He'd been dashing around trying to find his son."
"dash","I must dash; there's a meeting in 20 minutes."
"dash","The car dashed into the wall, causing great damage."
"dash","Tidal waves dashed the boat against rocks and reefs."
"disgust","I was filled with disgust when I saw that scene."
"disgust","As I was walking over the bridge, something gave off a smell and made me run away in disgust at such a revolting stench."
"fashionable","There was a fashionable club near the square."
"fashionable","She was wearing fashionable clothes."
"fashionable","It's fashionable to wear loose shirts nowadays."
"foreign","She had never been to a foreign country."
"foreign","He can speak two foreign languages."
"gulf","The widening gulf between the poor and the rich is a big problem."
"gulf","He tried to bridge the gulf between the two tribes."
"mirror","She was looking at herself in the mirror."
"mirror","He looked at his reflection in the mirror."
"mirror","The mirror reflected the light on the wall."
"natural","I love the natural beauty of the village."
"natural","They suffered from several natural disasters such as earthquake and famine."
"natural","He had an active life and in the end, he died from natural causes."
"nowadays","Nowadays, not so many people use bicycles to get around."
"nowadays","I exercise at home instead of going to the gym nowadays."
"participant","Several participants were trying to reach the final stage."
"participant","As a participant in the survey, she was asked some questions about her lifestyle."
"ritual","Brewing tea and watering his small garden were part of his morning ritual."
"ritual","They performed the ritual of lighting some candles before saying the prayers."
"spoken","He gave a spoken account of the occurrence."
"sport","His favorite sport is baseball."
"surprise","They were surprised to hear him speak English."
"surprise","Although he studied hard, he was surprised at the exam paper."
"surprise","During the party, don't be surprised if she's not so good at dancing."
"tense","During the interview, she was so tense."
"tense","It was a tense time when he was waiting for her."
"tense","English has twelve tenses in total."
"totally","His new girlfriend is totally different from his ex."
"totally","I totally agree that we need to learn English."
"vague","He just had a vague memory of the place."
"vague","She was vague about what she wanted."
"vague","There was a vague figure in the distance, and they weren't sure if it was a human."
"allow","The teacher doesn't allow the students to eat in the class."
"allow","Smoking is not allowed in this area."
"announce","The CEO announced the new year's resolution to the staff."
"announce","They announced that the tax will be increased by 10 percent."
"beside","She stood beside him in the line."
"beside","Beside the pond was a small garden."
"challenge","The champion took up the challenge and decided to fight with him."
"challenge","He relished the challenge of a mountain expedition."
"challenge","Global warming is a tough challenge that we have to face."
"claim","She claimed that she didn't know about the situation."
"claim","They claim to know how to fix the engine."
"claim","He claims responsibility for the mistake, but I suppose he's just trying to protect her."
"condition","It's a medical condition, but they don't know what exactly it is."
"condition","The cottage is in terrible condition and needs to be fixed."
"condition","He's in no condition to stay alone right now."
"contribute","They all contributed toward a few houses for the poor."
"contribute","He contributed 10 thousand dollars to the charity."
"contribute","They didn't have enough workers and needed to finish the project by noon, so a few locals contributed to finish faster."
"difference","There's just a subtle difference between them."
"difference","What's the difference between these two words?"
"difference","Do they have any major differences in quality?"
"divide","She divided the cake so that everyone could have a piece."
"divide","Canada is divided into ten provinces."
"divide","They decided to divide up the cost among themselves."
"expert","He's a computer expert, so let's ask him for help."
"expert","At the age of 12, he was an expert at solving math problems."
"famous","This restaurant is famous for its spicy food."
"famous","Everyone knew him as he was a famous actor."
"force","She used all her force to lift the table."
"force","Teachers should not use force in schools."
"force","We need to combine forces if we want to succeed in this project."
"force","Protesters were on strike in force for the sheriff's controversial decision."
"harm","A minor mistake could cause great harm, so be careful."
"harm","Not brushing your teeth once in a while doesn't do any harm."
"harm","Make sure you wash the vegetable carefully; otherwise, it could do you harm."
"harm","There's no harm in inviting them, so why not we call and invite them over."
"lay","She laid aside the baby and went to grab the diaper."
"lay","He was going to lay the tray down but tripped over a toy and spilled the drinks."
"lay","Birds usually build a nest before laying their eggs."
"peace","He was trying to keep peace between them."
"peace","A white dove is a symbol of peace."
"peace","They went to a neutral country to negotiate a peace agreement."
"peace","Peacekeeping forces were trying to avert war."
"peace","Peace activists wanted to make them sign a peace treaty."
"peace","People in both nations were advocating for a lasting peace."
"prince","The little prince asked his servant to bring some glue."
"protect","Luckily, there was a police officer that protected them."
"protect","The dragon was trying to protect the sacred treasure."
"protect","You should wrap up well to protect your body against the cold."
"protect","Wearing sunglasses can protect your eyes from the sun."
"sense","She sensed that the strange man wanted to deceive her."
"sense","He took the drug and soon could sense the power."
"sense","In one sense, ""spring"" refers to the season, but in another sense, it means a metal coil."
"sense","Can you imagine life without senses?"
"sense","He has an acute sense of hearing and finds it difficult to sleep even if there's just a little noise."
"sense","She had a good sense of humor, which made her even more attractive."
"sense","He seems to have lost his sense of fun over years of working too hard."
"sudden","He had a sudden heart attack when he was smoking."
"sudden","She made a sudden movement and escaped from the kidnapper."
"therefore","He didn't know how to fix the deck; therefore, he asked a handyman to do it for him."
"therefore","She wanted to ace in her exams. Therefore, she signed up for extra courses."
"accept","They wouldn't accept credit card, so he had to pay by cash."
"accept","He offered her some money, but she didn't accept it."
"accept","The vending machine accepts both cash and debit cards."
"accept","She refused to accept the job offer."
"accept","He couldn't accept that she was the most skilled among them."
"arrange","They arranged to throw a house-warming party."
"arrange","She arranged with the staff to have a meeting at 11 AM."
"arrange","They hadn't arranged how to get there yet."
"arrange","He asked his assistant to arrange a meeting for Monday."
"arrange","His secretary arranged for him to have a room there."
"arrange","They arranged the books in alphabetical order."
"attend","She attended all the classes for the summer semester."
"attend","They were going to attend a funeral when a problem came up."
"chase","A dog chased him down the alley."
"chase","The police were chasing the robber."
"chase","If you keep chasing your dreams, you will eventually succeed."
"contrast","There's a stark contrast between their stories."
"contrast","You could easily see the contrast of the carpet with the furniture."
"contrast","He was so lazy, while by contrast, his friend was industrious."
"contrast","He failed almost all his exams, but in contrast, she got good grades."
"encourage","We should encourage ourselves to master English."
"encourage","Phil always encouraged his children to chase their dreams."
"encourage","Fewer job opportunities will encourage an increase in the crime rate."
"encourage","He arranged a prize for the team that finished the project faster to encourage quick delivery."
"familiar","Among the crowd, there was a familiar face."
"familiar","The place was so familiar to him that he knew how to get there faster than the others."
"familiar","They were very familiar with each other and knew about each other's preferences."
"familiar","Since he'd been working with them most of his life, he was so familiar with computers."
"grab","The thief grabbed the bag and ran away."
"grab","He tried to grab their attention, in vain."
"hang","They both had gold necklaces hanging around their necks."
"hang","They hung a few banners on the wall."
"hang","Once he arrived home, he hung up his jacket on the rack."
"hang","There was a beautiful chandelier hanging down from the ceiling."
"huge","He had a huge house in the countryside."
"huge","After a lot of hard work, his business was a huge success."
"necessary","Knowing English is necessary if you want to live and work in America."
"necessary","It's necessary for all the staff to attend the meeting."
"necessary","We can always go back and read again, if necessary."
"pattern","Every morning, his routine was the same pattern; brushing his teeth, having breakfast, and working with his computer until midday."
"pattern","Her dress had a floral pattern."
"propose","She proposed that they go there and wait until he arrived."
"propose","He proposed working two more hours before taking a break so that they could finish the project faster."
"propose","Once he proposed to her, she accepted his proposal."
"purpose","The purpose of working together was to improve teamwork skills."
"purpose","Her operation was for a cosmetic purpose."
"purpose","He did that for the sole purpose of helping her out."
"purpose","His purpose in life was to advance human civilization."
"purpose","Their main purpose in redoing the house was to make him happy."
"release","After several years, he was finally released from jail."
"release","His rich family helped release him on bail."
"release","After a while, she felt sympathy toward the bird and released it."
"require","He was required to leave his phone with them before going into the room."
"require","They require the staff to have qualifications."
"require","She required that he give his itinerary to her."
"satisfied","She was satisfied with his work."
"satisfied","He was satisfied with the service."
"single","There was a single chair that was occupied."
"single","He used a single key to open the chest."
"single","Not a single person wanted to break the news to them."
"tear","The magazine was soaked, so he picked it up carefully to avoid tearing it."
"tear","Several pages had been torn out of the book."
"tear","A nail on the wall caught his shirt and tore it."
"tear","You could see the tears in his eyes when talking about the problem."
"tear","The little kid burst into tears when his toy broke."
"theory","Albert Einstein developed the theory of relativity."
"theory","He had a theory about how to solve the mystery."
"animal","There were some domestic animals in the farm."
"animal","He was an animal lover and was keeping a few on his ranch."
"bus","He usually takes the bus to work."
"bus","They went there by bus."
"cat","The cat was chasing a mouse."
"cat","When I pet the cat, it purrs."
"command","The coach told them to run at his command."
"command","When a chief gives a command, all soldiers must obey the command."
"command","The emperor had command over four countries."
"command","The knight was in command of the army."
"command","The troops were bravely fighting under the command of their general."
"command","They managed to finish the project two days earlier under the command of the new manager."
"command","He was about to take command of the kingdom, but they poisoned him."
"command","After years of studying, he finally had a good command of the language."
"depend","He depends on a wheelchair to get around."
"depend","The whole game depends on his pitch."
"depend","We're not sure how to go there yet; it depends on whether he can borrow his father's car."
"dog","The dog was trying to hide its bone."
"dog","When he fed the dog, it wagged its tail."
"dog","The dog barked at the stranger."
"door","She'd lost her keys, the door was locked, and she couldn't get in."
"door","He asked her to answer the door."
"door","Someone was knocking on the door."
"door","He sensed somebody was eavesdropping, so he went to see who was at the door."
"friend","They've been close friends since high school."
"friend","She found it hard to make friends in her new school."
"friend","The realtor was a friend of her."
"friend","He was a mutual friend, so he didn't want to meddle in their argument."
"hear","He was sitting in the back row, so he couldn't hear clearly."
"hear","Could you speak up a little? I can't hear you."
"help","Could you help me move this table?"
"help","She wanted to help with the cost, but he was so stubborn that he wouldn't accept her help."
"help","There's plenty of fruit; help yourself."
"help","It was so funny I couldn't help laughing."
"help","The alarm kept making noise and they couldn't help it."
"horse","In the stable, there were a few horses."
"horse","She was combing the mane of the horse."
"hospital","After the accident, the patient spent a week in the hospital."
"hospital","They took her to the maternity ward in the hospital."
"leg","Her leg was injured, so she was admitted to the hospital."
"leg","After walking all day, his legs were sore."
"medical","She was a medical student chasing her dream of becoming a doctor."
"medical","The company offers medical and dental insurance to its employees."
"open","Open up, it's me, Joey."
"open","The door of the room opens into a beautiful patio."
"open","They opened a bottle of wine and began to talk about the issue."
"open","She couldn't wait to open the box."
"open","The window was left wide open."
"open","There was an open door inside the hall."
"open","The road was completely blocked by snow, but is now open again."
"open","The shop is open from 7 AM to 10 PM."
"pull","He was pulling the door when, suddenly, its knob broke."
"pull","He pulled down the shutter."
"pull","She pulled steadily on the rope, trying to take him to the safe ground."
"rabbit","There were a few rabbits in the park."
"school","She was sick and didn't want to go to school that day."
"see","I saw that a bunch of kids were trying to open a metal box."
"see","She saw him playing with a guitar."
"see","He saw them give something to her."
"service","The hotel didn't offer a good service."
"service","He committed a crime and had to do community service for a few months."
"service","They didn't even have basic medical services in the village."
"service","The mayor planned to provide better electricity service for some deprived areas."
"benefit","What's the benefit of spending more money on a first-class flight?"
"benefit","We can derive a lot of benefits from English."
"benefit","He's trying to master English, to the benefit of his future life."
"benefit","With the benefit of hindsight, I realize why I couldn't go far in that field."
"benefit","We can benefit from each other."
"certain","He wasn't certain who had done that."
"certain","I'm certain that we can learn English."
"certain","The police wanted to make certain that the place was safe."
"certain","She was certain of the address."
"certain","He didn't know for certain if she would marry him."
"chance","Since she had two days off, she had a chance to visit her family."
"chance","The magistrate decided to give him a second chance."
"chance","They missed their chance to say goodbye to their grandparents."
"chance","There's a slight chance that he might come with us."
"chance","I'm afraid to say there's a chance of injury if you do it wrong."
"chance","The chances are that you lose the game, so be careful."
"chance","They don't stand a chance of winning since two of their best players are injured."
"chance","If we hurry up, there's still an outside chance of catching the bus."
"chance","Have you, by any chance, seen her today?"
"effect","It'll have a disastrous effect on the environment if all humans drive their own cars."
"effect","Learning a second language has a good effect on your life."
"effect","The new scheme effected a positive change in efficiency."
"effect","Adopting the new approach effected an improvement in productivity."
"essential","Revising vocabulary is essential if you want to be fluent."
"essential","Water is essential for all creatures in the world."
"essential","Exercise is essential to our health."
"essential","It's essential that we keep up to date in this field."
"essential","It's essential to drink plenty of water during exercise."
"far","His apartment is located on the far side of the town."
"far","The village is far from here."
"far","The location is not so far away."
